,flux,z,f,enz,met_concentration,reaction,gpr
EX_h2o_e,16.168023583985764,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otpp_reverse,16.168023583985764,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_e : 1.0,h2o_c --> h2o_e,
CYTBDpp,14.558082543929379,1.0,110.34580036177074,0.013030224909774566,;h2o_c : 1.0;h_c : 1.0;h_e : 1.0;o2_c : 0.00020000000008328362;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192
EX_co2_e,10.242035375971714,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tpp,10.242035375971714,1.0,-9999.0,-9999.0,;co2_c : 9.999999999761835e-05;co2_e : 1.0,co2_c --> co2_e,
HCO3E,9.145870288126817,1.0,7.712373421335901,1.94196835990389e-08,;co2_c : 9.999999999761835e-05;h2o_c : 1.0;h_c : 1.0;hco3_c : 0.00019999999999523673,co2_c + h2o_c --> h_c + hco3_c,Cgl2670
PYRC,9.145870288126817,1.0,3.879273123142854,0.05404273769531786,;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06;h_c : 1.0;hco3_c : 0.00019999999999523673;oaa_c : 0.001097439223202773;pi_c : 0.002224510384831014;pyr_c : 0.0002668998782767048,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,Cgl0689
GAPD_num1,8.888982312021074,1.0,3.879273123142866,0.015018968414840921,;13dpg_c : 4.999999992621078e-07;g3p_c : 0.00010515528173919147;h_c : 1.0;nad_c : 5.601343286015406e-06;nadh_c : 5.601343286015409e-07;pi_c : 0.002224510384831014,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Cgl0937
ENO,8.888982312021074,1.0,3.879273123142865,0.001675489463486676,;2pg_c : 8.955390055019545e-07;h2o_c : 1.0;pep_c : 8.992715926505502e-07,2pg_c --> h2o_c + pep_c,Cgl0974
PGK,8.888982312021074,1.0,3.879273123142875,0.0009876647013356752,;13dpg_c : 4.999999992621078e-07;3pg_c : 2.135232555419631e-05;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06,13dpg_c + adp_c --> 3pg_c + atp_c,Cgl1587
PGM_num4,8.888982312021074,1.0,3.879273123142867,-9999.0,;2pg_c : 8.955390055019545e-07;3pg_c : 2.135232555419631e-05,3pg_c --> 2pg_c,
NADH5,8.63209433591533,1.0,97.73291206360335,0.000907686050043673,;h_c : 1.0;nad_c : 5.601343286015406e-06;nadh_c : 5.601343286015409e-07;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,h_c + nadh_c + q8_c --> nad_c + q8h2_c,Cgl0335
EX_o2_e_reverse,7.279041271964689,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
O2tpp,7.279041271964689,1.0,-9999.0,-9999.0,;o2_c : 0.00020000000008328362;o2_e : 1.0,o2_e --> o2_c,
ME2,6.182876184119793,1.0,3.879273123142868,0.009453939119449225,;co2_c : 9.999999999761835e-05;mal__L_c : 0.0001471364976062186;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06;pyr_c : 0.0002668998782767048,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,Cgl3007
ATPS4rpp,6.182876184119792,1.0,8.908537690109938,0.0010947321163038875,;adp_c : 4.999999992621078e-07;atp_c : 4.999999992621075e-06;h2o_c : 1.0;h_c : 1.0;h_e : 1.0;pi_c : 0.002224510384831014,adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206
GLUDy,5.925988208014049,1.0,3.879273123142873,0.0003575655651748179,;akg_c : 4.999999992621078e-07;glu__L_c : 1.384728484713249e-05;h2o_c : 1.0;h_c : 1.0;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06;nh4_c : 3.198069371956711e-05,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,Cgl2079
EX_nh4_e_reverse,5.925988208014049,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NH4tpp_num1,5.925988208014049,1.0,-9999.0,-9999.0,;nh4_c : 3.198069371956711e-05;nh4_e : 1.0,nh4_e --> nh4_c,Cgl2061
GLCptspp,4.670000000002311,1.0,55.68656811641542,-9999.0,;g6p_c : 7.011964936477477e-05;glc__D_e : 1.0;pep_c : 8.992715926505502e-07;pyr_c : 0.0002668998782767048,glc__D_e + pep_c --> g6p_c + pyr_c,Cgl3036
EX_glc_e_reverse,4.670000000002311,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
TPI,4.218982312018763,1.0,3.879273123142867,5.751806652964355e-06,;dhap_c : 0.004314662375034608;g3p_c : 0.00010515528173919147,dhap_c --> g3p_c,Cgl1586
