,flux,z,f,enz,met_concentration,reaction,gpr
H2Otpp_reverse,12.892638036816827,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_e : 1.0,h2o_c --> h2o_e,
EX_h2o_e,12.892638036816827,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
HCO3E,8.196734727897312,1.0,7.712373421335901,1.7404357370743068e-08,;co2_c : 1.000000000958312e-07;h2o_c : 1.0;h_c : 1.0;hco3_c : 2.000000001916624e-07,co2_c + h2o_c --> h_c + hco3_c,Cgl2670
PYRC,8.196734727897312,1.0,-6.822020393498417,0.04843431744630432,;adp_c : 5.191273464754488e-05;atp_c : 0.0005191273464754484;h_c : 1.0;hco3_c : 2.000000001916624e-07;oaa_c : 1.0724836446254983e-06;pi_c : 0.02000000000856292;pyr_c : 3.699083542499263e-05,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c,Cgl0689
EX_nh4_e_reverse,7.5636809815991946,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
NH4tpp_num1,7.5636809815991946,1.0,-9999.0,-9999.0,;nh4_c : 0.01999999225362011;nh4_e : 1.0,nh4_e --> nh4_c,Cgl2061
PGK,7.563680981599193,1.0,-6.822020393498384,0.000840408997955466,;13dpg_c : 4.999999992621078e-07;3pg_c : 0.0013536462236560657;adp_c : 5.191273464754488e-05;atp_c : 0.0005191273464754484,13dpg_c + adp_c --> 3pg_c + atp_c,Cgl1587
GAPD_num1,7.563680981599193,1.0,-4.250740375063358,0.012779717832146579,;13dpg_c : 4.999999992621078e-07;g3p_c : 4.999999992621078e-07;h_c : 1.0;nad_c : 4.999999992621075e-06;nadh_c : 4.999999992621078e-07;pi_c : 0.02000000000856292,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Cgl0937
PGM_num4,7.563680981599193,1.0,-0.12304714939987438,-9999.0,;2pg_c : 0.00026799153956984044;3pg_c : 0.0013536462236560657,3pg_c --> 2pg_c,
ENO,7.563680981599193,1.0,6.822020393498391,0.001425682642286932,;2pg_c : 0.00026799153956984044;h2o_c : 1.0;pep_c : 8.597639192461892e-05,2pg_c --> h2o_c + pep_c,Cgl0974
