reactions,data_type,kcat,MW,kcat_MW
MCITD_reverse_num1,DLkcat,2343.8073,55395.45140000014,152317.6735048679
FUM,DLkcat,1854.7952,200973.2628000004,33224.63210762973
UREAAH,DLkcat,1843.6494,90263.75640000011,73530.48559809319
PRFGS,DLkcat,972.9622,113124.24060000035,30962.982835705232
AKGDH,DLkcat,765.9681,2277980.928600012,1210.495279121884
PDH,DLkcat,495.4045,2277980.928600012,782.9109443405507
GAMptspp,DLkcat,485.5433,59665.89070000024,29295.730935933097
2METS,DLkcat,426.2273,85189.59560000009,18011.803779474667
CS_num1,DLkcat,353.4379,85133.2134000001,14945.711423128292
PRASCSi,DLkcat,318.0215,32989.8726,34703.90485836553
TMDS2,DLkcat,299.5653,112257.53920000006,9606.79423124215
ASPCT,DLkcat,294.0494,406723.1544000005,2602.69873634713
3OAR160_reverse,DLkcat,193.8435,49743.12779999994,14028.80419594364
GLUNATF,DLkcat,173.6305,79427.97160000014,7869.643242910145
CTPS2,DLkcat,168.8066,242292.2772000004,2508.143334252335
HSTPT_num1,DLkcat,163.7974,36449.61920000005,16177.68999902197
FRD2,DLkcat,154.7989,128023.23510000033,4352.928900482055
FRD3,DLkcat,154.7989,128023.23510000033,4352.928900482055
PA160abcpp_num2,DLkcat,151.3103,124789.74090000006,4365.079020690552
IPPMIb,DLkcat,150.2741,73902.9218000001,7320.235070868325
SDPTA_reverse,DLkcat,147.7533,44323.21970000006,12000.750026740485
MDH3,DLkcat,141.0581,139630.61200000005,3636.8039409581606
UAGAAT_num2,DLkcat,138.1574,36468.071600000025,13638.413499221046
ACPPAT180,DLkcat,125.4977,10366.238399999984,43582.99535152508
SUCptspp,DLkcat,124.1277,52733.475000000064,8473.928941720595
3NTD9pp,DLkcat,123.6603,72286.71450000032,6158.490990761491
CYSS,DLkcat,119.1109,32517.357500000016,13186.780014335414
AGPAT120,DLkcat,114.0333,27142.98989999999,15124.342657622996
PFK_2,DLkcat,112.7167,74926.25080000008,5415.727007122577
ILETRS_num1,DLkcat,106.7977,117402.43270000065,3274.819023405108
MDH,DLkcat,106.5348,139630.61200000005,2746.713449913117
TRPTRS,DLkcat,105.0539,75652.13160000005,4999.119416748857
CS_num2,DLkcat,102.7866,293573.0130000001,1260.4420148114905
PPS,DLkcat,102.1448,113444.81880000018,3241.410968695552
SHKK,DLkcat,100.9134,18381.7814,19763.49473941628
AGPAT161,DLkcat,98.9054,27142.98989999999,13117.915208007358
PGP161abcpp_num2,DLkcat,96.3379,124789.74090000006,2779.206347402552
SERTRS_num1,DLkcat,94.9001,92942.14300000011,3675.8390647394426
VPAMT,DLkcat,87.0602,46748.85590000004,6704.265034216586
MCOATA_num1,DLkcat,84.6385,51947.94010000007,5865.460678776743
PAPSR2,DLkcat,84.4172,25361.3372,11982.88235369545
AMPTASECG_num1,DLkcat,79.876,96093.53880000084,2992.4342842496867
MCPST_num3,DLkcat,79.7608,26224.522700000005,10949.25094671027
MSDHD_num2,DLkcat,79.7608,25097.803900000006,11440.797017303968
GRTT_num2,DLkcat,79.7608,23797.8431,12065.752295005255
DHPPDA2_num2,DLkcat,79.7608,25102.051100000008,11438.861265006344
BMOCOS_num3,DLkcat,79.7608,42035.61430000005,6830.847717622141
WCOS_num2,DLkcat,79.7608,44180.44000000003,6499.230881358352
TMPPP_num3,DLkcat,79.7608,19859.433499999992,14458.563483193018
GRTT_num1,DLkcat,77.7439,43023.41430000007,6505.249398581543
MI1PP_num2,DLkcat,77.4113,29201.97669999999,9543.21287435313
AACPS7_num3,DLkcat,77.4113,65266.35630000022,4269.897935147929
AACPS6_num3,DLkcat,77.4113,65266.35630000022,4269.897935147929
FA141ACPHi_num2,DLkcat,77.4113,36257.034700000055,7686.251297324091
ACOATA_num4,DLkcat,71.5621,39787.823900000025,6474.934659595692
IG3PS,DLkcat,71.5427,50417.5635,5108.412666550219
PGP140abcpp_num2,DLkcat,70.6172,124789.74090000006,2037.2020822105887
TYRTA_num1,DLkcat,69.7168,36449.61920000005,6885.6818125551135
PROTRS_num1,DLkcat,68.9964,128661.6236000004,1930.544890154792
G3PAT141_num5,DLkcat,68.9841,32647.44630000001,7606.805068854647
FDH5pp_num2,DLkcat,68.1145,78597.73920000027,3119.8378286178386
PA120abcpp_num2,DLkcat,67.2807,124789.74090000006,1940.948977481208
LEUt2rpp_num2,DLkcat,67.2807,11479.888099999986,21098.68300893981
ALATA_L,DLkcat,66.6614,46748.85590000004,5133.409906615486
KAS15_num2,DLkcat,66.4266,72794.94800000028,3285.059836844709
AACPS5_num2,DLkcat,65.0605,72794.94800000028,3217.500752936854
ACGS,DLkcat,64.4737,79427.97160000014,2922.2113485269915
TRPS2,DLkcat,63.7903,147740.78900000005,1554.3783240524049
UPPRT_num2,DLkcat,63.3046,20951.408099999982,10877.38632707938
MCOATA_num4,DLkcat,61.9259,39787.823900000025,5603.051842199388
GLUPRT,DLkcat,60.9411,52875.34770000009,4149.153992229911
G3PAT161_num4,DLkcat,60.5042,39787.823900000025,5474.416508614332
NADPHQR3_num4,DLkcat,59.7166,33175.92590000003,6479.992770902584
HSK,DLkcat,59.1122,79057.4653000001,2691.7624944395952
G3PAT160_num4,DLkcat,58.1468,39787.823900000025,5261.1190932711415
CTBTt2rpp_reverse,DLkcat,54.1467,54274.90940000008,3591.495999807228
UPPRT_num1,DLkcat,53.4897,22522.586999999992,8549.769171720818
ADPT,DLkcat,53.1315,39126.30839999997,4888.613514072289
MALS,DLkcat,53.0208,13854.526899999975,13777.076718512872
ANPRT,DLkcat,52.3628,73265.38340000014,2572.921497876167
PTPATi,DLkcat,51.821,105448.85039999997,1769.157267171118
GLUDy,DLkcat,51.3372,293925.99600000045,628.7770476756323
PPPGO3,DLkcat,49.8829,45699.00150000011,3929.592203453277
ACOAD6f_reverse,DLkcat,49.8577,43527.88540000008,4123.511132015608
MALTATr,DLkcat,49.2804,24125.874399999997,7353.492646882057
ACOTA_reverse,DLkcat,49.2329,82411.52100000004,2150.651242075728
ALDD19x,DLkcat,48.4933,55105.55960000007,3168.0266250304044
VALt2rpp_reverse,DLkcat,46.6029,44831.84830000004,3742.2155534907943
DHORD5,DLkcat,46.0571,39560.88880000002,4191.148506248927
ADOCBLS,DLkcat,45.4461,32435.794900000044,5043.99415844129
LPLIPAL1A180pp_num2,DLkcat,44.9309,33281.47760000002,4860.097918248674
ACOAD5f_reverse,DLkcat,43.5121,43527.88540000008,3598.6944589777777
PSERT,DLkcat,42.8438,40045.63320000005,3851.548038451289
GLGC,DLkcat,42.4366,175439.88760000013,870.7926235584289
CITt7pp,DLkcat,42.4202,51144.3682000001,2985.9146837598378
TKT1_reverse,DLkcat,42.4202,72405.24720000032,2109.138852577515
DAAD,DLkcat,42.1121,44705.46800000002,3391.1636938908664
U23GAAT_num5,DLkcat,40.6098,32647.44630000001,4478.000473807348
GLYBabcpp_num2,DLkcat,40.3809,67401.7152000002,2156.7884373363777
MPTG2_num1,DLkcat,40.2141,76166.84400000039,1900.7057716609509
TRPS1,DLkcat,40.1111,147740.78900000005,977.3872264889552
ARGSL_reverse,DLkcat,40.0766,51040.99500000012,2826.6643312889896
PGK_reverse,DLkcat,39.6959,42696.70650000007,3346.9850888850124
DHORD2,DLkcat,38.5392,39560.88880000002,3507.0273749764674
LDH_D,DLkcat,38.4709,63722.110700000245,2173.4251812848293
SARCOX,DLkcat,38.2127,30962.798400000007,4442.935623028181
PY5PSH,DLkcat,37.639,655015.6032000005,206.86591180122883
PPTHpp,DLkcat,37.3558,50796.87810000012,2647.424114042152
ACLS,DLkcat,34.9687,85593.6848000002,1470.7547676461254
KAS14_num1,DLkcat,34.3048,14750.437999999996,8372.448330008914
PFK,DLkcat,33.9538,74926.25080000008,1631.3865794016197
3OAR80_reverse,DLkcat,33.8416,49743.12779999994,2449.177713348378
GTHRDabc2pp,DLkcat,33.2435,180059.7144000003,664.649504742299
ALCD19_num1,DLkcat,33.2043,37284.043600000055,3206.076070568693
DBTS,DLkcat,33.1901,47709.91639999998,2504.392566908796
3OAR140_reverse,DLkcat,32.7227,49743.12779999994,2368.200899501944
ASPK_reverse,DLkcat,32.1094,44754.18960000008,2582.860756348045
G1PACT,DLkcat,32.0167,151370.02440000017,761.4461347738269
ASPK,DLkcat,31.7436,44754.18960000008,2553.436025126904
PYDAMK,DLkcat,31.6487,56071.918300000005,2031.9497433709164
GLCATr,DLkcat,31.3277,24125.874399999997,4674.637616450495
WCOS_num1,DLkcat,31.0355,42625.68860000004,2621.137714594009
FFSD_num1,DLkcat,30.6866,47782.839400000055,2311.9546972756893
RBK_num1,DLkcat,29.7322,61538.51900000003,1739.332075898673
GLUSy,DLkcat,29.7003,219039.4420000002,488.13619603724106
FRUpts2pp,DLkcat,29.3964,59665.89070000024,1773.66060840519
ANS,DLkcat,28.8704,156517.12100000022,664.0387922801101
AICART,DLkcat,28.8075,55758.90380000019,1859.9182001852707
PA181abcpp_num2,DLkcat,28.1185,124789.74090000006,811.1772592036847
PANTS_num1,DLkcat,27.9784,59775.67479999998,1685.00381362487
AIRC2+AIRC3_reverse,DLkcat,27.5882,83462.06960000009,1189.9719294763318
DMPPS,DLkcat,27.4331,35602.006000000045,2773.977398913979
PHEMEabcpp_num1,DLkcat,27.3123,87329.29130000003,1125.9026443055536
FDH4pp_num2,DLkcat,27.0205,78597.73920000027,1237.6157506576176
PROt4pp,DLkcat,26.954,56646.71450000013,1712.9748981293485
GLNS_num1,DLkcat,26.8028,53299.84780000005,1810.325619729066
UDPGD_num2,DLkcat,26.6328,46982.94210000011,2040.6997883599925
LDH_D_reverse,DLkcat,25.5295,63722.110700000245,1442.2968572508323
ORPT_reverse,DLkcat,25.5295,38889.66019999997,2363.2554135816304
MANptspp,DLkcat,25.288,72570.42480000024,1254.4614455667304
PYRC_reverse,DLkcat,25.2528,123101.8372000007,738.4949085065278
TRE6PP,DLkcat,24.9406,28104.447800000016,3194.7313335933945
SERTRS2,DLkcat,24.7954,92942.14300000011,960.4194299673064
GLUNATF_reverse,DLkcat,24.7856,79427.97160000014,1123.3845986821077
UAGDP,DLkcat,24.4972,151370.02440000017,582.611520012412
CYANSTpp_num5,DLkcat,24.4381,20770.4874,4235.681055804208
KAS14_num3,DLkcat,24.3677,65266.35630000022,1344.0879033720423
CYANSTpp_num3,DLkcat,23.3073,26224.522700000005,3199.535067229269
ALDD2x,DLkcat,23.1944,51083.937600000136,1634.561545623683
FDH5pp_num1,DLkcat,22.9167,32629.927200000035,2528.35746443222
SHSL1_num1,DLkcat,22.7789,41657.64120000005,1968.5233642081469
GARFT,DLkcat,22.5113,110167.4881000002,735.6133955458666
ILETA,DLkcat,22.428,41690.674299999984,1936.663327126854
ACGK,DLkcat,21.8459,31089.38160000002,2529.6495443962112
GLU5K,DLkcat,21.3107,38625.22430000004,1986.2284657334644
SUCptsp,DLkcat,21.2627,52733.475000000064,1451.5584265971454
SPMDabcpp,DLkcat,21.2627,133143.22440000018,574.9126201873769
NADPHQR3_num3,DLkcat,21.2529,36234.82500000005,2111.5167521852222
FA140ACPHi_num2,DLkcat,20.9714,36257.034700000055,2082.2728782064432
GLCabcpp,DLkcat,20.9634,97941.801,770.5416811765591
PGLYCP_num1,DLkcat,20.319,24766.549900000005,2953.515943696299
G3PAT140_num5,DLkcat,20.2562,32647.44630000001,2233.6301384773237
PRPPS_reverse,DLkcat,20.1486,213301.1478000002,340.05892958443764
ACOTA,DLkcat,20.0014,82411.52100000004,873.725410310046
