reactions,kcat,MW,kcat_MW
FDMO,24.79957202,35549.08860000003,2511.4134507515873
GHMT2r,23.77857223,93080.48380000018,919.6649666318112
ALAALAr_reverse,23.77857223,38559.13410000003,2220.041036346818
ACOTA_reverse,20.6498801,82411.52100000004,902.0531044439765
MCITD_reverse_num1,20.6498801,55395.45140000014,1341.9796478091305
AACPS5_num2,20.6498801,72794.94800000028,1021.2187851277772
CS_num1,20.6498801,85133.2134000001,873.2146408090349
PPCK,20.6498801,36048.41530000002,2062.21460059577
2METS,20.6498801,85189.59560000009,872.6367091710895
TRPS1,20.6498801,147740.78900000005,503.1756555733568
GLYC3Pabcpp,19.82515842,156521.3224000001,455.97985768103865
GTHRDabc2pp,19.82515842,180059.7144000003,396.3716734185817
SHSL1_num1,19.82515842,41657.64120000005,1713.2647998322075
ARGSL_reverse,19.82515842,51040.99500000012,1398.298961687558
GRTT_num1,19.82515842,43023.41430000007,1658.8774153147556
ME1_num1,19.74019877,37729.45650000009,1883.5340385038367
FRUURt2rpp_reverse,19.74019877,47232.63890000006,1504.5679688246234
MDH,19.74019877,139630.61200000005,508.9479631586802
ME2,19.74019877,40932.37550000005,1736.149312223521
MDH2,19.74019877,54831.626700000044,1296.0533883267035
MDH3,19.74019877,139630.61200000005,508.9479631586802
MOCOS_num1,16.50811904,42625.68860000004,1394.2115774758404
PPNDH,16.50811904,33739.434400000035,1761.417451147312
IGPS,16.50811904,50476.53320000012,1177.3635148144417
VPAMT,16.50811904,46748.85590000004,1271.2445556127493
P5CD,14.81821033,126320.44770000072,422.303420857807
P5CR,14.81821033,28241.848599999998,1888.88333563264
ACOAD3f_reverse,14.79234266,43527.88540000008,1223.4096163100057
ACOAD6f_reverse,14.79234266,43527.88540000008,1223.4096163100057
UAMAS,14.3487368,51180.32250000009,1009.2834502947868
ANS,14.24042341,156517.12100000022,327.5394023890839
ACONTb,14.20953134,101724.64050000074,502.87042129187597
MM_COA_ADD5_reverse,14.20953134,57996.135500000055,882.0296797878879
ICDHyr,13.64293245,80080.2833000005,613.3164718711689
MALTptspp,13.58091441,59665.890700000244,819.4177829645607
PPC,12.93234698,103196.32520000079,451.1444476125555
MALTabcpp,12.93234698,121309.67520000019,383.7818298601786
GLCabcpp,12.93234698,97941.801,475.3481011442703
GALTptspp,12.93234698,59665.890700000244,780.2858313485264
TREptsp_num1,12.93234698,59665.890700000244,780.2858313485264
METabcpp,12.93234698,94594.12540000008,492.17061769038736
RIBabcpp,12.93234698,120919.5478,385.02003997735756
G3PSabcpp,12.93234698,156521.3224000001,297.4447724701818
SPMDabcpp,12.93234698,133143.22440000018,349.67193665170043
3OAR60_reverse,12.93234698,49743.127799999944,935.9373080677096
PPS,12.93234698,113444.81880000018,410.38850095108904
UAGAAT_num4,12.93234698,39787.823900000025,1170.118005071395
THMabcpp,12.93234698,95618.53820000007,486.8977292940875
THRTRS_num1,12.93234698,155240.05940000064,299.89971214865307
ARBt3ipp,12.93234698,33053.27929999996,1408.5273871146594
ASCBptspp,12.93234698,42352.59060000009,1099.2585924129962
AACPS3_num3,12.93234698,65266.35630000022,713.3299875666545
ACGAptspp,12.93234698,52733.475000000064,882.8632880347814
GLYBabcpp_num2,12.93234698,67401.7152000002,690.7309256130007
SERTRS_num1,12.93234698,92942.14300000013,500.91861049513284
FE3DHBZStonex,12.93234698,58607.624800000114,794.3752930932616
LEUt2rpp_num3,12.93234698,44831.84830000004,1038.4682071651273
DHAPT,12.93234698,39240.35870000007,1186.4430058841413
UAGCVT_num1,12.93234698,46936.31080000005,991.9068698513892
ABUTt2pp,12.93234698,29894.043200000004,1557.382145216141
ACMUMptspp_num2,12.93234698,9132.906999999994,5097.659390159128
ACMANAptspp_num1,12.93234698,59665.890700000244,780.2858313485264
PA120abcpp_num2,12.93234698,124789.74090000006,373.0791392964578
ARGORNt7pp,12.93234698,53629.27280000007,868.116360660403
G1PACT,12.81702252,151370.02440000017,304.8244277880948
XYLK,12.79763661,49820.40310000008,924.7514859228411
TYRTA_num1,12.78105322,36449.61920000005,1262.3394318478897
PSCVT,12.72318659,45527.32590000005,1006.0654962385997
TRPS2,12.5567209,147740.78900000005,305.96963469580487
ACGK,12.48000396,31089.38160000002,1445.1240887982144
IPPMIb,12.48000396,73902.9218000001,607.932855179752
UAGAAT_num5,11.88246361,32647.446300000014,1310.2669226536098
PTAr_reverse,11.88246361,35237.6429,1213.953757275859
GLUTRS_num1,11.88246361,87941.30590000008,486.425219164274
TKT2_reverse,11.88246361,38328.480000000054,1116.0596244881076
PGP160abcpp_num2,11.88246361,124789.74090000006,342.79155231421737
ARBabcpp,11.82717899,77282.55130000011,550.9373545228694
ACt2rpp,11.82717899,57267.730100000095,743.4875503123867
ALAabcpp,11.82717899,33754.665900000036,1261.3913729775638
PA180abcpp_num2,11.78314502,124789.74090000006,339.92635745587944
PDH,11.78314502,2277980.928600012,18.621456193695973
3OAR80_reverse,11.78314502,49743.127799999944,852.7674866476741
LEUt2rpp_num2,11.72581356,11479.888099999986,3677.120233950717
AIRC2+AIRC3_reverse,11.22796377,83462.06960000009,484.2998713753434
OCBT,11.22796377,34328.29050000001,1177.4740012760028
DDPA,11.21403692,90032.30260000011,448.40053787539085
PRAGSr_reverse,11.21403692,43544.64990000001,927.1066136646098
ACALD_reverse,11.21403692,38867.74190000004,1038.6642222711673
ACHBS,11.16253885,85593.6848000002,469.48720520558663
PA161abcpp_num2,11.16253885,124789.74090000006,322.0227846470349
QULNS,11.02063017,42875.0744000001,925.3457671434364
RNDR2b,10.88728417,80360.53450000047,487.7297451524512
RNDR1b,10.88728417,80360.53450000047,487.7297451524512
MCPST_num1,10.88728417,33493.81449999999,1170.1928728362666
RNDR3,10.88728417,118415.36350000053,330.9893400107649
RNDR1,10.88728417,118415.36350000053,330.9893400107649
NNATr,10.88728417,24580.468999999994,1594.5270617903998
INSH,10.88728417,32751.828100000046,1196.7033685060144
G3PAT181_num5,10.88728417,32647.446300000014,1200.5295192720778
RNDR3b,10.88728417,80360.53450000047,487.7297451524512
RNDR2,10.88728417,118415.36350000053,330.9893400107649
METS,10.88728417,214717.15470000095,182.53885241149678
RBK_num1,10.81657317,61538.51900000003,632.7689395970024
ARGORNt7pp_reverse,10.81657317,53629.27280000007,726.0897151676453
PROabcpp,10.81657317,66268.83220000006,587.6014729591079
PROt4pp,10.81657317,56646.71450000013,687.412566742947
PYRC_reverse,10.78523611,123101.8372000007,315.4043097904292
AICART_reverse,10.54511784,55758.90380000019,680.831609605637
METTRS_num1,10.54511784,67618.3354000002,561.4220462457567
URAt2pp_num1,10.54511784,50443.91170000011,752.5670183900492
G3PAT120_num2,10.4295371,36468.071600000025,1029.5672875666935
DPR,10.4295371,31615.694099999968,1187.585299922295
SARCOX,10.4295371,30962.798400000007,1212.6272656285482
PPPGO3,10.4295371,45699.00150000011,821.6007424144684
SERAT_reverse,10.4295371,19492.143799999994,1926.22904618629
GND,10.4295371,52578.3697000001,714.1022776900579
PTPATi,10.4295371,105448.85039999997,356.0620473108544
GHMT2r_reverse,10.4295371,93080.48380000018,403.37492917070466
PFK_2,10.36426755,74926.25080000008,497.974512025096
UAAGDS,10.34301887,53861.69880000016,691.3051159091901
L_LACD3,10.28660132,43980.84790000005,841.9975175603643
VALt2rpp,10.14208576,44831.84830000004,814.4100705301496
ACALD,10.04768803,38867.74190000004,930.6348951545334
U23GAAT_num4,10.04768803,39787.823900000025,909.1142304970334
GLNTRS,9.875953252,116722.74150000015,304.5972982668502
ORPT_reverse,9.875953252,38889.66019999997,914.2129688034669
PHETRS,9.799733184,254560.93900000118,138.58779591632415
HSDy_reverse,9.745377287,46437.83800000008,755.4907752854458
ALCD19_num1,9.745377287,37284.043600000055,940.9751423313952
TKT1_reverse,9.537623399,72405.24720000032,474.2120987662321
CITt7pp,9.537623399,51144.3682000001,671.3435993994727
CRNCAL2,9.537623399,63714.44920000022,538.8957240863958
MAN2D,9.491264531,55368.50720000014,617.1116766463936
DSERt2pp,9.491264531,48690.28870000007,701.7529208365518
LEUTRS_num1,9.368727728,106777.27010000052,315.8670360200549
CTBTt2rpp,9.245855909,54274.909400000084,613.2682972732875
3OAR180_reverse,9.176308094,49743.127799999944,664.1059901022154
FOMETRi,9.176308094,20577.296399999992,1605.3959906219757
GLYOX,9.06540597,53555.401000000114,609.3775955855494
SSALy_num1,9.045026339,51774.1473000001,628.9257577091943
SHK3Dr_reverse_num1,9.045026339,28870.2389,1127.877567386531
TYRTA_reverse_num1,9.045026339,36449.61920000005,893.3452676619446
GLUabcpp,9.010277072,112539.53140000002,288.2275859485229
PRFGS,8.757510522,113124.24060000035,278.6939184031959
MI2DH_reverse_num1,8.757510522,145723.70760000023,216.3480355971944
PRASCSi,8.757510522,32989.8726,955.6580669911407
PRPPS_reverse,8.757510522,213301.1478000002,147.80528939657196
AMALT3,8.749611391,78523.43850000044,401.1362926701156
AMALT1,8.749611391,78523.43850000044,401.1362926701156
AMALT2,8.749611391,78523.43850000044,401.1362926701156
LYSabcpp,8.749611391,25081.59459999999,1255.8452327269501
MALTATr,8.749611391,24125.874399999993,1305.5941718572492
AMALT4,8.749611391,78523.43850000044,401.1362926701156
LYSt2pp,8.749611391,53629.27280000007,587.339700187021
G6PDH2r_reverse,8.598492422,54242.362900000124,570.6715390748572
ACMUMptspp_num1,8.598492422,59665.890700000244,518.7984685394108
ADSL2r_reverse,8.560581091,52234.97390000013,589.9896109185177
TREptspp_num1,8.560581091,59665.890700000244,516.5110512227697
LYSTRS_num1,8.560581091,117852.28380000018,261.497621716856
PYRC,8.51394422,123101.8372000007,248.98246759878438
G3PAT160_num5,8.51394422,32647.446300000014,938.8237876357266
UAGAAT_num1,8.51394422,51947.94010000007,590.0176047981537
CBPS,8.51394422,162169.69810000082,189.00077851227033
MM_COA_ADD5,8.51394422,57996.135500000055,528.4869229260969
AICART,8.51394422,55758.90380000019,549.6915667843509
ARGSS,8.493583556,176536.5440000002,173.20436952475953
IPPS,8.493583556,136373.84220000054,224.21382508793084
FRUpts2pp,8.467705548,59665.890700000244,510.90731429908703
DMATT_num1,8.459754885,43023.41430000007,707.8730984397943
PY5PSH,8.410080469,655015.6032000005,46.222241944296904
TALA,8.410080469,38328.480000000054,789.9162630086024
PRAMPC,8.410080469,26080.980999999974,1160.8570125640608
DAAD,8.380567196,44705.46800000002,674.8624554293891
ALATA_D2,8.380567196,93080.48380000018,324.1285463279891
ALAALAr,8.380567196,38559.13410000003,782.4356695188332
AGPAT181,8.333699442,27142.98989999999,1105.3063093539306
ACOATA_num2,8.333699442,36468.071600000025,822.6735518200524
ACCOAC_num2,8.333699442,55812.93600000009,537.5334132431226
MNLptspp,8.333699442,52733.475000000064,568.9235915364949
PA120abcpp_num1,8.333699442,87329.29130000003,343.54244199849575
ACOAD1f_reverse,8.323404424,43527.88540000008,688.3921801172529
GARFT,8.323404424,110167.48810000019,271.98819218970596
ACMANAptspp_num2,8.189518482,9132.906999999994,3228.1360726874827
PGP181abcpp_num1,8.189518482,87329.29130000003,337.59882962888526
THDPS_num2,8.189518482,34948.319300000025,843.5961192331208
PHEMEabcpp_num1,8.189518482,87329.29130000003,337.59882962888526
PA181abcpp_num1,8.163358471,87329.29130000003,336.5204281189442
