,max_Df_complete
CBMKr,-8.486379882991343
PPKr_reverse,2.250539643433111
GLU5K,3.7670879363966563
PGCD,3.7670879363966563
ACGK,7.5670879363966606
GAPD_num1,9.586929082600307
TPI,13.542375417652806
MTHFD,15.89035402673337
PGK,16.559690848583102
ACONTa,18.128720981565014
DHORTS_reverse,18.928720981565014
FUM,19.80346881938806
PGMT_reverse,19.928720981565014
ARGSS,30.00400846282117
CYTK1,31.267087936396656
PRPPS,34.667087936396655
PRMICI,37.12872098156549
TRDR,39.667087936396655
GALUi_num2,41.26564150798953
UAGDP,48.16564150798953
