,max_Df_complete
PGM_num1,6.387367645464725
GAPD_num1,6.387367645464728
ASAD_reverse,6.387367645464728
ENO,6.387367645464728
ASPK,6.387367645464732
PGK,6.387367648043725
ACONTb,13.141359336099296
ACONTa,13.141359336099296
PGI_reverse,18.190910444870006
RPE,18.190910444870013
G6PDH2r,18.190910447449006
TKT1,23.95400369579059
ASPTA_reverse,25.46190397946993
GLUDy,25.461903979469938
TKT2,26.22827509033523
GND,28.155179174767426
DAPE,29.028720981565012
PGL,29.61766789889194
FUM,30.758720981565013
PYRC,31.61634244781412
SDPTA_reverse,43.631978297135234
PFK,45.25500599999901
