,max_E,min_E
PYRC,0.05404273769532322,0.05404273769533475
CYTBDpp,0.013030224909756548,0.0
GAPD_num1,0.015018968414831843,0.01501896841484265
ICDHyr,0.003972419895547249,0.003972419895550324
ME2,0.009453939119450675,0.00945393911945391
AKGDH,0.003728549523536329,0.0037285495235393155
FBA,0.005781089953500048,0.0057810899535059995
PGL,0.002573430170518716,0.00257343017052032
THDPS_num2,0.0035123372861180524,0.003512337286124234
DAPDC_num2,0.0021227852375359426,0.002122785237512602
DHDPRy,0.002948058317140195,0.0029480583171402367
ENO,0.0016754894634895207,0.0016754894634863759
SDPTA_reverse,0.00152001665094568,0.0015200166509456963
