,max_E,min_E
PYRC,0.06705049415938596,0.04843431744632109
ME2,0.0068340181234818765,0.00683401812349618
PGL,0.010135374013518106,0.010135374013548602
PPC,0.02843299324768734,0.0
GAPD_num1,0.026834514471668125,0.0022714095359923233
DHDPRy,0.0037627770834648116,0.003762777083464975
DAPDC_num2,0.002709433391625053,0.0
FBA,0.01839232022970176,0.0039650865574153375
CYTBO3_4pp,0.0027694961524065372,0.0027694961524289364
GND,0.002061555891557496,0.0020615558915636992
ENO,0.015480479281810969,0.0014256826422873125
