regulator,target,sign,data_type
Cgl0010,Cgl1011,1,CoryNeRegNet
Cgl0010,Cgl1015,1,CoryNeRegNet
Cgl0010,Cgl1017,1,CoryNeRegNet
Cgl0010,Cgl1222,1,CoryNeRegNet
Cgl0010,Cgl1223,1,CoryNeRegNet
Cgl0010,Cgl1018,1,CoryNeRegNet
Cgl0010,Cgl1016,1,CoryNeRegNet
Cgl0010,Cgl1220,1,CoryNeRegNet
Cgl0010,Cgl1221,1,CoryNeRegNet
Cgl0016,Cgl0015,1,CoryNeRegNet
Cgl0037,Cgl0036,1,CoryNeRegNet
Cgl0037,Cgl0038,1,CoryNeRegNet
Cgl0037,Cgl0039,1,CoryNeRegNet
Cgl0069,Cgl2825,1,CoryNeRegNet
Cgl0069,Cgl2824,1,CoryNeRegNet
Cgl0069,Cgl2823,1,CoryNeRegNet
Cgl0069,Cgl0067,1,CoryNeRegNet
Cgl0083,Cgl0086,-1,CoryNeRegNet
Cgl0083,Cgl0087,-1,CoryNeRegNet
Cgl0083,Cgl0088,-1,CoryNeRegNet
Cgl0083,Cgl0089,-1,CoryNeRegNet
Cgl0083,Cgl0090,-1,CoryNeRegNet
Cgl0083,Cgl0084,-1,CoryNeRegNet
Cgl0083,Cgl0085,-1,CoryNeRegNet
Cgl0111,Cgl0108,-1,CoryNeRegNet
Cgl0111,Cgl0109,-1,CoryNeRegNet
Cgl0111,Cgl0111,-1,CoryNeRegNet
Cgl0111,Cgl0112,-1,CoryNeRegNet
Cgl0111,Cgl0291,1,CoryNeRegNet
Cgl0111,Cgl2807,-1,CoryNeRegNet
Cgl0111,Cgl0110,-1,CoryNeRegNet
Cgl0121,Cgl2836,-1,CoryNeRegNet
Cgl0121,Cgl3043,1,CoryNeRegNet
Cgl0121,Cgl3044,1,CoryNeRegNet
Cgl0121,Cgl3045,1,CoryNeRegNet
Cgl0121,Cgl3046,1,CoryNeRegNet
Cgl0121,Cgl0010,1,CoryNeRegNet
Cgl0121,Cgl1342,1,CoryNeRegNet
Cgl0121,Cgl2551,-1,CoryNeRegNet
Cgl0121,Cgl2812,1,CoryNeRegNet
Cgl0121,Cgl2813,1,CoryNeRegNet
Cgl0121,Cgl2814,1,CoryNeRegNet
Cgl0121,Cgl2815,1,CoryNeRegNet
Cgl0121,Cgl2816,1,CoryNeRegNet
Cgl0121,Cgl2817,1,CoryNeRegNet
Cgl0121,Cgl2818,1,CoryNeRegNet
Cgl0157,Cgl0159,-1,CoryNeRegNet
Cgl0157,Cgl0160,-1,CoryNeRegNet
Cgl0157,Cgl0162,-1,CoryNeRegNet
Cgl0157,Cgl0163,-1,CoryNeRegNet
Cgl0157,Cgl0164,-1,CoryNeRegNet
Cgl0157,Cgl0165,-1,CoryNeRegNet
Cgl0157,Cgl0166,-1,CoryNeRegNet
Cgl0157,Cgl0167,-1,CoryNeRegNet
Cgl0157,Cgl0157,-1,CoryNeRegNet
