reaction_id,equation,gpr,g0
ALAR,ala__L_c --> ala__D_c,Cgl0588,-0.0
ALATA_L,glu__L_c + pyr_c --> akg_c + ala__L_c,Cgl2844,0.2
ASNN,asn__L_c + h2o_c --> asp__L_c + nh4_c,Cgl2143,-17.3
ASNS1,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c,Cgl2196,-43.0
ASNS2,asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c,Cgl2196,-29.0
ASPT,asp__L_c --> fum_c + nh4_c,Cgl1503,13.8
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,Cgl0240,2.8
DAAD,ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c,Cgl3012,19.0
VPAMT,3mob_c + ala__L_c --> pyr_c + val__L_c,Cgl2844,-1.6
2METS,h2o_c + oaa_c + ppcoa_c --> coa_c + hcat_c,Cgl0659,-1.6
ACHMSC,achms_c + cys__L_c --> ac_c + cyst__L_c + h_c,,-74.0
ACNML,acnam_c --> acmana_c + pyr_c,Cgl2646,7.6
ADNUC_num1,adn_c + h2o_c --> ade_c + rib__D_c,Cgl0102,-6.0
AGDC,acgam6p_c + h2o_c --> ac_c + gam6p_c,Cgl2645,-10.0
ALCD19_num1,glyald_c + h_c + nadh_c --> glyc_c + nad_c,Cgl0331,-35.0
ALDD19x,h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,Cgl2796,-45.8
ALDD2x,acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c,Cgl2668,-58.1
AMALT1,malt_c + malttr_c --> glc__D_c + maltttr_c,Cgl2297,-3.0
AMALT2,malt_c + maltttr_c --> glc__D_c + maltpt_c,Cgl2297,0.4
AMALT3,malt_c + maltpt_c --> glc__D_c + malthx_c,Cgl2297,-1.3
AMALT4,malt_c + malthx_c --> glc__D_c + malthp_c,Cgl2297,-1.3
AMANAPEr,acmanap_c --> acgam6p_c,Cgl2648,-2.2
APG,cdpdag_c + glyc3p_c --> apg_c + cmp_c,,-2.2
ARAI_num1,arab__L_c --> rbl__L_c,Cgl1023,4.9
BETALDHx,betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c,Cgl0546,-45.2
BETALDHy,betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c,Cgl0546,-44.9
CBMKr,atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c,,18.0
DHACOAH,23dhacoa_c + h2o_c --> 3hadpcoa_c,Cgl0919,0.4
DHAPT,dha_c + pep_c --> dhap_c + pyr_c,Cgl1528,-40.2
DHPTDNRN,dhptdn_c + 3.0 h_c + nadh_c --> nad_c + thptdn_c,Cgl2838,0.0
DRPA,2dr5p_c --> acald_c + g3p_c,Cgl0383,20.3
FFSD_num1,h2o_c + suc6p_c --> fru_c + g6p_c,Cgl2643,-21.1
FRUK,atp_c + f1p_c --> adp_c + fdp_c + h_c,Cgl1935,-20.1
G3PD2,glyc3p_c + nadp_c --> dhap_c + h_c + nadph_c,Cgl1320,21.8
G3PT,glyc3p_c + h2o_c --> glyc_c + pi_c,Cgl1506,-13.2
G6PDA,gam6p_c + h2o_c --> f6p_c + nh4_c,Cgl2644,2.1
GLCATr,accoa_c + glc__D_c --> acglc__D_c + coa_c,Cgl0143,-1.7
GLCRD,glcr_c --> 5dh4dglc_c + h2o_c,Cgl0422,-41.0
GLYCDx,dha_c + h_c + nadh_c --> glyc_c + nad_c,Cgl2674,-19.8
GLYK,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,Cgl2890,-17.4
GNK_num1,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,Cgl2485,-12.7
GUI1,glcur_c --> fruur_c,Cgl2484,0.6
HCO3E,co2_c + h2o_c --> h_c + hco3_c,Cgl2670,-9.5
HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c,,-18.6
HPYRI_num1,hpyr_c --> 2h3oppan_c,Cgl2109,1.6
HSST_2,hom__L_c + succoa_c --> coa_c + suchms_c,,-29.0
HXCT,accoa_c + hxa_c --> ac_c + hxcoa_c,Cgl2569 and Cgl2360,-0.0
MALGT,malt_c --> tre_c,Cgl2303,0.4
MALTATr,accoa_c + malt_c --> acmalt_c + coa_c,Cgl0143,-3.0
MAN1PG,gtp_c + man1p_c --> gdpmann_c + ppi_c,Cgl0742,-8.9
MAN6PI,man6p_c --> f6p_c,Cgl0748,-1.4
MCITL2_num1,micit_c --> pyr_c + succ_c,Cgl0695,0.0
MM_COA_ADD5,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c,Cgl0707,-6.0
MMM2,succoa_c --> mmcoa__R_c,Cgl1529 and Cgl1530,8.8
MSDH_num1,2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c,Cgl0160,-39.2
PFK_2,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,Cgl1250,-20.5
PGLYCP_num1,2pglyc_c + h2o_c --> glyclt_c + pi_c,Cgl2239,-32.0
PGMT,g1p_c --> g6p_c,Cgl2541,-7.4
PMANM_num1,man1p_c --> man6p_c,Cgl0687,-4.4
PPASUCC,oaa_c + ppa_c --> pyr_c + succ_c,,0.0
RBK_num1,atp_c + rib__D_c --> adp_c + h_c + r5p_c,Cgl1366,-30.1
SUCptsp,h2o_c + sucr_e --> f6p_c + g6p_c,Cgl3036,-1814.6
TRE6p,h2o_c + tre6p_c --> g6p_c + glc__D_c,,-9.6
TRE6PP,h2o_c + tre6p_c --> pi_c + tre_c,Cgl2626,-4.4
TRE6PS,g6p_c + udpg_c --> h_c + tre6p_c + udp_c,Cgl2624,-19.4
UACGAMPpp,h2o_c + uacgam_c --> acgam1p_c + 2.0 h_c + ump_c,,-36.0
UDPARA,h_c + r5p_c + utp_c --> ppi_c + udpara_c,,-36.0
UDPG4E,udpg_c --> udpgal_c,Cgl1921,1.3
UDPGALPpp,h2o_c + udpgal_c --> gal1p_c + 2.0 h_c + ump_c,,-40.6
UDPGPpp_num1,h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c,Cgl0276,-43.0
UGLCURPpp,h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c,,-37.0
XYLI1,xyl__D_c --> xylu__D_c,Cgl0172,3.7
XYLI2,fru_c --> glc__D_c,Cgl0172,0.12
XYLK,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,Cgl0112,-25.5
GALKr,atp_c + gal_c --> adp_c + gal1p_c + h_c,Cgl2233,-17.0
M1PD,f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,Cgl0109,-5.7
MAN2D,fru_c + h_c + nadh_c --> mnl_c + nad_c,Cgl0109,-5.8
MCITD_num1,2mcit_c --> 2mcacn_c + h2o_c,Cgl0657,-2.9
HDPA1,dha_c + pi_c --> dhap_c + h2o_c,,14.9
HDPA2,atp_c + dha_c --> adp_c + dhap_c,,-15.7
ICL,icit_c --> glx_c + succ_c,Cgl2331,8.9
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Cgl2330,-39.2
ME1_num1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,Cgl0234,12.1
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,Cgl3007,12.4
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Cgl2700,-15.74
PPA2,h2o_c + pppi_c --> h_c + pi_c + ppi_c,Cgl2700,-0.0
PPC,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,Cgl1585,-41.8
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,Cgl2864,11.2
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,Cgl0479,6.2
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,Cgl1396,25.7
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,Cgl1395,-26.2
ACODA,acorn_c + h2o_c --> ac_c + orn_c,Cgl2829,-6.9
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,Cgl1397,-3.6
AGPR,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c,Cgl1394,4.6
AMPTASEPG_num1,h2o_c + progly_c --> gly_c + pro__L_c,Cgl2426,28.0
ARGSL,argsuc_c --> arg__L_c + fum_c,Cgl1401,-9.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,Cgl1609 and Cgl1610,-17.5
CSND,crtn_c + h2o_c --> nh3_c + nmeth_c,Cgl0076,-17.5
G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,,-38.0
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,Cgl2354,-7.1
GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c,Cgl2356,29.5
GLUNATF,acorn_c + glu__L_c --> acglu_c + orn_c,Cgl1395,2.7
OCBT,cbp_c + orn_c --> citr__L_c + h_c + pi_c,Cgl1398,-31.6
ORNC,orn_c --> nh3_c + pro__L_c,Cgl1582,-23.0
P5CD,1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c,Cgl0099,-15.0
P5CR,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,Cgl0410,-13.0
PROD2,fad_c + pro__L_c --> 1pyr5c_c + fadh2_c + h_c,Cgl0099,-1.0
SPMDAT1,accoa_c + spmd_c --> N1aspmd_c + coa_c + h_c,Cgl1237,-26.7
SPMDAT2_num1,accoa_c + spmd_c --> coa_c + h_c + n8aspmd_c,Cgl0120,-27.2
SPMS,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,Cgl2702,-0.0
SSALy_num1,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,Cgl0051,-44.3
UREAAH,h2o_c + urea_c --> co2_c + 2.0 nh4_c,Cgl0084 and Cgl0085 and Cgl0086,-20.0
ARGSS,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,Cgl1400,14.0
CG_biomass_cgl_ATCC13032,0.098705 arabino_c + 47.7 atp_c + 0.01039 dna_c + 47.7 h2o_c + 0.062224 ions_c + 0.10598 mycoli_c + 0.098705 peptid_c + 0.029092 phosph_c + 0.54028 protein_c + 0.05195 rna_c + 0.002679 soluble_pool_c --> 47.7 adp_c + biomass_c + 47.7 h_c + 47.7 pi_c,,14.0
BAMPN,apo_c + btamp_c --> amp_c + bccp_c + h_c,,14.0
BIOTIN_t,atp_c + btn_e + h2o_c --> adp_c + btn_c + h_c + pi_c,,-30.61
BTNAMP,atp_c + btn_c + h_c --> btamp_c + ppi_c,,0.0
3HAD100,3hdecACP_c --> h2o_c + tdec2eACP_c,Cgl0289,0.0
3HAD120,3hddecACP_c --> h2o_c + tddec2eACP_c,Cgl0289,0.0
3HAD121,3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c,Cgl0289,0.0
3HAD140,3hmrsACP_c --> h2o_c + tmrs2eACP_c,Cgl0289,0.0
3HAD141,3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c,Cgl0289,0.0
3HAD160,3hpalmACP_c --> h2o_c + tpalm2eACP_c,Cgl0289,0.0
3HAD161,3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c,Cgl0289,0.0
3HAD180,3hoctaACP_c --> h2o_c + toctd2eACP_c,Cgl0289,0.0
3HAD181,3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c,Cgl0289,0.0
3HAD40,3haACP_c --> but2eACP_c + h2o_c,Cgl0289,0.0
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c,Cgl0289,0.0
3HAD80,3hoctACP_c --> h2o_c + toct2eACP_c,Cgl0289,0.0
3OAR100,3odecACP_c + h_c + nadph_c --> 3hdecACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR120,3oddecACP_c + h_c + nadph_c --> 3hddecACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR140,3omrsACP_c + h_c + nadph_c --> 3hmrsACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
3OAR160,3opalmACP_c + h_c + nadph_c --> 3hpalmACP_c + nadp_c,Cgl0286 and Cgl0744,-0.0
