reactions,kcat
FDMO,24.79957202
GHMT2r,23.77857223
ALAALAr_reverse,23.77857223
ACOTA_reverse,20.6498801
MCITD_reverse_num1,20.6498801
AACPS5_num2,20.6498801
CS_num1,20.6498801
PPCK,20.6498801
2METS,20.6498801
TRPS1,20.6498801
GLYC3Pabcpp,19.82515842
GTHRDabc2pp,19.82515842
SHSL1_num1,19.82515842
ARGSL_reverse,19.82515842
GRTT_num1,19.82515842
ME1_num1,19.74019877
FRUURt2rpp_reverse,19.74019877
MDH,19.74019877
ME2,19.74019877
MDH2,19.74019877
MDH3,19.74019877
MOCOS_num1,16.50811904
PPNDH,16.50811904
IGPS,16.50811904
VPAMT,16.50811904
P5CD,14.81821033
P5CR,14.81821033
ACOAD3f_reverse,14.79234266
ACOAD6f_reverse,14.79234266
UAMAS,14.3487368
ANS,14.24042341
ACONTb,14.20953134
MM_COA_ADD5_reverse,14.20953134
ICDHyr,13.64293245
MALTptspp,13.58091441
PPC,12.93234698
MALTabcpp,12.93234698
GLCabcpp,12.93234698
GALTptspp,12.93234698
TREptsp_num1,12.93234698
METabcpp,12.93234698
RIBabcpp,12.93234698
G3PSabcpp,12.93234698
SPMDabcpp,12.93234698
3OAR60_reverse,12.93234698
PPS,12.93234698
UAGAAT_num4,12.93234698
THMabcpp,12.93234698
UAGAAT_num3,12.93234698
THRTRS_num1,12.93234698
ARBt3ipp,12.93234698
ASCBptspp,12.93234698
AACPS3_num3,12.93234698
ACGAptspp,12.93234698
GLYBabcpp_num2,12.93234698
SERTRS_num1,12.93234698
FE3DHBZStonex,12.93234698
G3PAT120_num3,12.93234698
LEUt2rpp_num3,12.93234698
DHAPT,12.93234698
UAGCVT_num1,12.93234698
ABUTt2pp,12.93234698
ACMUMptspp_num2,12.93234698
ACMANAptspp_num1,12.93234698
PA120abcpp_num2,12.93234698
ARGORNt7pp,12.93234698
G1PACT,12.81702252
XYLK,12.79763661
TYRTA_num1,12.78105322
PSCVT,12.72318659
TRPS2,12.5567209
ACGK,12.48000396
IPPMIb,12.48000396
UAGAAT_num5,11.88246361
PTAr_reverse,11.88246361
GLUTRS_num1,11.88246361
TKT2_reverse,11.88246361
PGP160abcpp_num2,11.88246361
ARBabcpp,11.82717899
ACt2rpp,11.82717899
ALAabcpp,11.82717899
PA180abcpp_num2,11.78314502
PDH,11.78314502
3OAR80_reverse,11.78314502
LEUt2rpp_num2,11.72581356
AIRC2+AIRC3_reverse,11.22796377
OCBT,11.22796377
DDPA,11.21403692
PRAGSr_reverse,11.21403692
ACALD_reverse,11.21403692
ACHBS,11.16253885
PA161abcpp_num2,11.16253885
QULNS,11.02063017
RNDR2b,10.88728417
RNDR1b,10.88728417
MCPST_num1,10.88728417
RNDR3,10.88728417
RNDR1,10.88728417
NNATr,10.88728417
INSH,10.88728417
G3PAT181_num5,10.88728417
RNDR3b,10.88728417
RNDR2,10.88728417
METS,10.88728417
RBK_num1,10.81657317
ARGORNt7pp_reverse,10.81657317
PROabcpp,10.81657317
PROt4pp,10.81657317
PYRC_reverse,10.78523611
AICART_reverse,10.54511784
METTRS_num1,10.54511784
URAt2pp_num1,10.54511784
G3PAT120_num2,10.4295371
DPR,10.4295371
SARCOX,10.4295371
PPPGO3,10.4295371
SERAT_reverse,10.4295371
GND,10.4295371
PTPATi,10.4295371
GHMT2r_reverse,10.4295371
PFK_2,10.36426755
UAAGDS,10.34301887
L_LACD3,10.28660132
VALt2rpp,10.14208576
ACALD,10.04768803
U23GAAT_num4,10.04768803
GLNTRS,9.875953252
ORPT_reverse,9.875953252
PHETRS,9.799733184
HSDy_reverse,9.745377287
ALCD19_num1,9.745377287
TKT1_reverse,9.537623399
CITt7pp,9.537623399
CRNCAL2,9.537623399
MAN2D,9.491264531
DSERt2pp,9.491264531
LEUTRS_num1,9.368727728
CTBTt2rpp,9.245855909
3OAR180_reverse,9.176308094
FOMETRi,9.176308094
GLYOX,9.06540597
SSALy_num1,9.045026339
SHK3Dr_reverse_num1,9.045026339
TYRTA_reverse_num1,9.045026339
GLUabcpp,9.010277072
PRFGS,8.757510522
MI2DH_reverse_num1,8.757510522
PRASCSi,8.757510522
PRPPS_reverse,8.757510522
AMALT3,8.749611391
AMALT1,8.749611391
AMALT2,8.749611391
LYSabcpp,8.749611391
MALTATr,8.749611391
AMALT4,8.749611391
LYSt2pp,8.749611391
G6PDH2r_reverse,8.598492422
ACMUMptspp_num1,8.598492422
ADSL2r_reverse,8.560581091
TREptspp_num1,8.560581091
LYSTRS_num1,8.560581091
PYRC,8.51394422
G3PAT160_num5,8.51394422
UAGAAT_num1,8.51394422
CBPS,8.51394422
MM_COA_ADD5,8.51394422
AICART,8.51394422
ARGSS,8.493583556
IPPS,8.493583556
FRUpts2pp,8.467705548
DMATT_num1,8.459754885
PY5PSH,8.410080469
TALA,8.410080469
PRAMPC,8.410080469
DAAD,8.380567196
ALATA_D2,8.380567196
ALAALAr,8.380567196
AGPAT181,8.333699442
ACOATA_num2,8.333699442
ACCOAC_num2,8.333699442
MNLptspp,8.333699442
PA120abcpp_num1,8.333699442
ACOAD1f_reverse,8.323404424
GARFT,8.323404424
ACMANAptspp_num2,8.189518482
PGP181abcpp_num1,8.189518482
THDPS_num2,8.189518482
PHEMEabcpp_num1,8.189518482
PA181abcpp_num1,8.163358471
SHSL1_num2,8.163358471
METSOXR1_num2,8.163358471
PGP120abcpp_num1,8.163358471
FBA_reverse,7.95461901
RNDR4,7.930389036
RNDR4b,7.930389036
RNTR2c,7.930389036
TKT1,7.885986341
PA160abcpp_num2,7.855711468
GLYK,7.855711468
3OAS121_num1,7.802865546
3OAS60_num1,7.802865546
ACOATA_num1,7.802865546
3OAS181_num1,7.802865546
3OAS180_num1,7.802865546
3OAS140_num1,7.802865546
PGP141abcpp_num2,7.802865546
3OAS80_num1,7.802865546
3OAS100_num3,7.802865546
SPMDAT2_num4,7.802865546
ADNUC_num2,7.802865546
3OAS141_num1,7.802865546
3OAS121_num2,7.802865546
AMPTASEPG_num2,7.802865546
3OAS120_num1,7.802865546
ALCD19_num2,7.802865546
MSDH_num2,7.802865546
3OAS100_num1,7.802865546
3OAS160_num1,7.802865546
G3PAT161_num5,7.802865546
SPMDAT2_num3,7.802865546
3OAS161_num1,7.802865546
3OAS121_num3,7.802865546
ME1_num2,7.802865546
RBK_num2,7.802865546
SPMDAT2_num5,7.802865546
G3PAT180_num2,7.802865546
KARA1_reverse,7.802865546
SPMDAT2_num6,7.802865546
PY5PSH_reverse,7.802865546
G3PAT180_num4,7.802865546
