regulator,target,sign,data_type
Cgl2612,Cgl0060,-1,iModulon
Cgl2612,Cgl0061,-1,iModulon
Cgl2612,Cgl0062,-1,iModulon
Cgl0863,Cgl0078,-1,iModulon
Cgl0863,Cgl0091,-1,iModulon
Cgl0863,Cgl0186,-1,iModulon
Cgl2612,Cgl0238,-1,iModulon
Cgl2782,Cgl0258,-1,iModulon
Cgl2782,Cgl0282,-1,iModulon
Cgl1920,Cgl0338,-1,iModulon
Cgl0982,Cgl0375,-1,iModulon
Cgl1920,Cgl0394,-1,iModulon
Cgl1920,Cgl0395,-1,iModulon
Cgl1920,Cgl0503,-1,iModulon
Cgl1920,Cgl0505,-1,iModulon
Cgl0554,Cgl0554,-1,iModulon
Cgl0627,Cgl0555,-1,iModulon
Cgl0627,Cgl0611,-1,iModulon
Cgl0627,Cgl0612,-1,iModulon
Cgl0627,Cgl0615,-1,iModulon
Cgl0627,Cgl0616,-1,iModulon
Cgl0627,Cgl0617,-1,iModulon
Cgl0627,Cgl0628,-1,iModulon
Cgl0627,Cgl0629,-1,iModulon
Cgl0627,Cgl0630,-1,iModulon
Cgl0627,Cgl0631,-1,iModulon
Cgl0627,Cgl0632,-1,iModulon
Cgl0627,Cgl0633,-1,iModulon
Cgl0627,Cgl0635,-1,iModulon
Cgl0627,Cgl0636,-1,iModulon
Cgl0627,Cgl0637,-1,iModulon
Cgl0627,Cgl0638,-1,iModulon
Cgl0627,Cgl0640,-1,iModulon
Cgl0627,Cgl0641,-1,iModulon
Cgl0627,Cgl0642,-1,iModulon
Cgl0627,Cgl0644,-1,iModulon
Cgl0627,Cgl0645,-1,iModulon
Cgl0627,Cgl0646,-1,iModulon
Cgl0627,Cgl0647,-1,iModulon
Cgl1920,Cgl0648,-1,iModulon
Cgl0627,Cgl0648,-1,iModulon
Cgl1920,Cgl0649,-1,iModulon
Cgl1920,Cgl0670,-1,iModulon
Cgl1920,Cgl0671,-1,iModulon
Cgl2280,Cgl0694,-1,iModulon
Cgl2280,Cgl0695,-1,iModulon
Cgl0627,Cgl0721,-1,iModulon
Cgl0627,Cgl0722,-1,iModulon
Cgl0627,Cgl0723,-1,iModulon
Cgl0627,Cgl0724,-1,iModulon
Cgl0627,Cgl0725,-1,iModulon
Cgl0627,Cgl0726,-1,iModulon
Cgl0627,Cgl0727,-1,iModulon
Cgl0627,Cgl0728,-1,iModulon
Cgl0627,Cgl0729,-1,iModulon
Cgl0627,Cgl0731,-1,iModulon
Cgl0627,Cgl0732,-1,iModulon
Cgl0627,Cgl0733,-1,iModulon
Cgl0627,Cgl0734,-1,iModulon
Cgl0627,Cgl0735,-1,iModulon
Cgl0627,Cgl0737,-1,iModulon
Cgl0627,Cgl0738,-1,iModulon
Cgl0627,Cgl0739,-1,iModulon
Cgl0627,Cgl0740,-1,iModulon
Cgl1920,Cgl0809,-1,iModulon
Cgl2612,Cgl0877,-1,iModulon
Cgl2612,Cgl0878,-1,iModulon
Cgl2612,Cgl0879,-1,iModulon
Cgl2612,Cgl0880,-1,iModulon
Cgl0627,Cgl0895,-1,iModulon
Cgl0627,Cgl0896,-1,iModulon
Cgl0627,Cgl0897,-1,iModulon
Cgl0627,Cgl0901,-1,iModulon
Cgl0627,Cgl0906,-1,iModulon
Cgl0627,Cgl0907,-1,iModulon
Cgl2782,Cgl0929,-1,iModulon
Cgl0863,Cgl0935,-1,iModulon
Cgl0863,Cgl0936,-1,iModulon
Cgl0982,Cgl0946,-1,iModulon
Cgl0982,Cgl0947,-1,iModulon
Cgl1920,Cgl0983,-1,iModulon
Cgl1920,Cgl0985,-1,iModulon
Cgl0010,Cgl1014,-1,iModulon
Cgl0010,Cgl1019,-1,iModulon
Cgl0010,Cgl1020,-1,iModulon
Cgl0627,Cgl1036,-1,iModulon
