regulator,target,sign,data_type
Cgl1541,Cgl1540,-1,RegPrecise
Cgl0863,Cgl0075,-1,RegPrecise
Cgl0863,Cgl0076,-1,RegPrecise
Cgl0863,Cgl0084,-1,RegPrecise
Cgl0863,Cgl0183,-1,RegPrecise
Cgl0863,Cgl0184,-1,RegPrecise
Cgl0863,Cgl0930,-1,RegPrecise
Cgl0863,Cgl1144,-1,RegPrecise
Cgl0863,Cgl1145,-1,RegPrecise
Cgl0863,Cgl1583,-1,RegPrecise
Cgl0863,Cgl1950,-1,RegPrecise
Cgl0863,Cgl1990,-1,RegPrecise
Cgl0863,Cgl2061,-1,RegPrecise
Cgl0863,Cgl2214,-1,RegPrecise
Cgl1399,Cgl1394,-1,RegPrecise
Cgl1399,Cgl1610,-1,RegPrecise
Cgl0261,Cgl0261,-1,RegPrecise
Cgl0261,Cgl0262,-1,RegPrecise
Cgl0261,Cgl1510,-1,RegPrecise
Cgl2106,Cgl0072,-1,RegPrecise
Cgl2106,Cgl1958,-1,RegPrecise
Cgl2106,Cgl2604,-1,RegPrecise
Cgl0906,Cgl0906,-1,RegPrecise
Cgl0379,Cgl0379,-1,RegPrecise
Cgl0857,Cgl0857,-1,RegPrecise
Cgl0923,Cgl0924,1,RegPrecise
Cgl1064,Cgl1064,-1,RegPrecise
Cgl1064,Cgl1065,-1,RegPrecise
Cgl1625,Cgl1625,-1,RegPrecise
Cgl1625,Cgl1626,-1,RegPrecise
Cgl2928,Cgl2928,-1,RegPrecise
Cgl2928,Cgl2929,-1,RegPrecise
Cgl0069,Cgl0067,1,RegPrecise
Cgl0069,Cgl0068,1,RegPrecise
Cgl0069,Cgl2825,1,RegPrecise
Cgl1962,Cgl0243,1,RegPrecise
Cgl1962,Cgl0782,1,RegPrecise
Cgl1962,Cgl0783,1,RegPrecise
Cgl1962,Cgl1940,1,RegPrecise
Cgl1962,Cgl2412,1,RegPrecise
Cgl1962,Cgl2596,1,RegPrecise
Cgl1962,Cgl2678,1,RegPrecise
Cgl1920,Cgl0124,-1,RegPrecise
Cgl1920,Cgl0336,-1,RegPrecise
Cgl1920,Cgl0370,-1,RegPrecise
Cgl1920,Cgl0388,-1,RegPrecise
Cgl1920,Cgl0392,-1,RegPrecise
Cgl1920,Cgl0445,-1,RegPrecise
Cgl1920,Cgl0502,-1,RegPrecise
Cgl1920,Cgl0646,-1,RegPrecise
Cgl1920,Cgl0669,-1,RegPrecise
Cgl1920,Cgl0808,-1,RegPrecise
Cgl1920,Cgl0810,-1,RegPrecise
Cgl1920,Cgl0811,-1,RegPrecise
Cgl1920,Cgl0835,-1,RegPrecise
Cgl1920,Cgl0952,-1,RegPrecise
Cgl1920,Cgl0982,-1,RegPrecise
Cgl1920,Cgl1248,-1,RegPrecise
Cgl1920,Cgl1257,-1,RegPrecise
Cgl1920,Cgl1451,-1,RegPrecise
Cgl1920,Cgl1565,-1,RegPrecise
Cgl1920,Cgl1714,-1,RegPrecise
Cgl1920,Cgl1776,-1,RegPrecise
Cgl1920,Cgl2028,-1,RegPrecise
Cgl1920,Cgl2035,-1,RegPrecise
Cgl1920,Cgl2108,-1,RegPrecise
Cgl1920,Cgl2227,-1,RegPrecise
Cgl1920,Cgl2526,-1,RegPrecise
Cgl1920,Cgl2538,-1,RegPrecise
Cgl1920,Cgl2782,-1,RegPrecise
Cgl1920,Cgl2817,-1,RegPrecise
Cgl1920,Cgl2818,-1,RegPrecise
Cgl1920,Cgl2850,-1,RegPrecise
Cgl1920,Cgl2935,-1,RegPrecise
Cgl1920,Cgl2999,-1,RegPrecise
Cgl1920,Cgl3065,-1,RegPrecise
Cgl1920,Cgl3075,-1,RegPrecise
Cgl2490,Cgl0700,-1,RegPrecise
Cgl2490,Cgl0708,-1,RegPrecise
Cgl2490,Cgl0836,-1,RegPrecise
Cgl2490,Cgl2495,-1,RegPrecise
Cgl1934,Cgl1933,-1,RegPrecise
Cgl1934,Cgl1934,-1,RegPrecise
Cgl0478,Cgl0478,-1,RegPrecise
Cgl0478,Cgl0479,-1,RegPrecise
Cgl3024,Cgl3023,-1,RegPrecise
Cgl3024,Cgl3024,-1,RegPrecise
Cgl3024,Cgl3025,-1,RegPrecise
Cgl1718,Cgl1452,-1,RegPrecise
Cgl2527,Cgl1574,-1,RegPrecise
Cgl1718,Cgl1574,-1,RegPrecise
Cgl2527,Cgl2485,-1,RegPrecise
Cgl1718,Cgl2485,-1,RegPrecise
Cgl2527,Cgl2527,-1,RegPrecise
Cgl1718,Cgl2527,-1,RegPrecise
Cgl2527,Cgl2908,-1,RegPrecise
Cgl1718,Cgl2908,-1,RegPrecise
Cgl2291,Cgl0597,-1,RegPrecise
Cgl2291,Cgl2716,-1,RegPrecise
Cgl2797,Cgl2780,-1,RegPrecise
Cgl2797,Cgl2800,-1,RegPrecise
Cgl0170,Cgl0170,-1,RegPrecise
Cgl0170,Cgl0171,-1,RegPrecise
Cgl1930,Cgl0616,-1,RegPrecise
Cgl1930,Cgl0638,-1,RegPrecise
Cgl1930,Cgl0642,-1,RegPrecise
Cgl1930,Cgl0727,-1,RegPrecise
Cgl1930,Cgl0734,-1,RegPrecise
Cgl1930,Cgl0766,-1,RegPrecise
Cgl1930,Cgl0945,-1,RegPrecise
Cgl1930,Cgl2486,-1,RegPrecise
Cgl1930,Cgl1105,-1,RegPrecise
Cgl1930,Cgl1137,-1,RegPrecise
Cgl1930,Cgl1163,-1,RegPrecise
Cgl1930,Cgl1265,-1,RegPrecise
Cgl1930,Cgl1376,-1,RegPrecise
Cgl1930,Cgl1414,-1,RegPrecise
Cgl1930,Cgl1662,-1,RegPrecise
Cgl1930,Cgl1674,-1,RegPrecise
Cgl1930,Cgl1806,-1,RegPrecise
Cgl1930,Cgl1929,-1,RegPrecise
Cgl1930,Cgl1930,-1,RegPrecise
Cgl1930,Cgl1955,-1,RegPrecise
Cgl1930,Cgl2169,-1,RegPrecise
Cgl1930,Cgl2486,-1,RegPrecise
Cgl1930,Cgl1105,-1,RegPrecise
Cgl1930,Cgl2665,-1,RegPrecise
Cgl2915,Cgl1934,-1,RegPrecise
Cgl2915,Cgl2911,-1,RegPrecise
Cgl2915,Cgl2917,-1,RegPrecise
Cgl1263,Cgl1263,-1,RegPrecise
Cgl2941,Cgl0121,-1,RegPrecise
Cgl2941,Cgl0637,-1,RegPrecise
Cgl2941,Cgl0652,-1,RegPrecise
Cgl2941,Cgl0653,-1,RegPrecise
Cgl2941,Cgl1011,-1,RegPrecise
Cgl2941,Cgl1015,-1,RegPrecise
Cgl2941,Cgl1220,-1,RegPrecise
Cgl2941,Cgl1018,-1,RegPrecise
Cgl2941,Cgl1139,-1,RegPrecise
Cgl2941,Cgl1183,-1,RegPrecise
Cgl2941,Cgl1220,-1,RegPrecise
Cgl2941,Cgl1018,-1,RegPrecise
Cgl2941,Cgl1230,-1,RegPrecise
Cgl2941,Cgl1507,-1,RegPrecise
Cgl2941,Cgl1542,-1,RegPrecise
Cgl2941,Cgl1603,-1,RegPrecise
Cgl2941,Cgl2439,-1,RegPrecise
Cgl2941,Cgl2440,-1,RegPrecise
Cgl2941,Cgl2446,-1,RegPrecise
Cgl2941,Cgl2551,-1,RegPrecise
Cgl2941,Cgl2562,-1,RegPrecise
Cgl2941,Cgl2817,-1,RegPrecise
Cgl2941,Cgl2818,-1,RegPrecise
Cgl2941,Cgl2941,-1,RegPrecise
Cgl2941,Cgl3043,-1,RegPrecise
Cgl0641,Cgl1434,-1,RegPrecise
Cgl1070,Cgl1070,-1,RegPrecise
Cgl2408,Cgl2398,1,RegPrecise
Cgl2394,Cgl2398,1,RegPrecise
Cgl2391,Cgl1077,-1,RegPrecise
Cgl2391,Cgl2390,-1,RegPrecise
Cgl2391,Cgl2391,-1,RegPrecise
Cgl2391,Cgl2398,-1,RegPrecise
Cgl2612,Cgl2611,-1,RegPrecise
Cgl1371,Cgl1371,-1,RegPrecise
Cgl1371,Cgl1372,-1,RegPrecise
Cgl0420,Cgl0420,1,RegPrecise
Cgl0420,Cgl0421,1,RegPrecise
Cgl1251,Cgl1251,-1,RegPrecise
Cgl1251,Cgl1367,-1,RegPrecise
Cgl1251,Cgl2325,-1,RegPrecise
Cgl1251,Cgl1366,-1,RegPrecise
Cgl1171,Cgl1014,-1,RegPrecise
Cgl1171,Cgl1170,-1,RegPrecise
Cgl1171,Cgl1171,-1,RegPrecise
Cgl1171,Cgl1190,-1,RegPrecise
Cgl1171,Cgl1264,-1,RegPrecise
Cgl1171,Cgl1642,-1,RegPrecise
Cgl1171,Cgl2122,-1,RegPrecise
Cgl1171,Cgl2784,-1,RegPrecise
Cgl1171,Cgl2926,-1,RegPrecise
Cgl1171,Cgl2927,-1,RegPrecise
Cgl1565,Cgl1565,-1,RegPrecise
Cgl0871,Cgl0871,-1,RegPrecise
Cgl1367,Cgl1367,-1,RegPrecise
Cgl1367,Cgl1366,-1,RegPrecise
Cgl1367,Cgl2325,-1,RegPrecise
Cgl2382,Cgl2382,-1,RegPrecise
Cgl2382,Cgl2383,-1,RegPrecise
Cgl2279,Cgl2279,-1,RegPrecise
Cgl2280,Cgl0027,-1,RegPrecise
Cgl2280,Cgl0028,-1,RegPrecise
Cgl2280,Cgl0029,-1,RegPrecise
Cgl2280,Cgl0692,-1,RegPrecise
Cgl2280,Cgl0693,-1,RegPrecise
Cgl2280,Cgl2628,-1,RegPrecise
Cgl2280,Cgl2807,-1,RegPrecise
