geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl0001,7.24,6.24,10.04,10.68,16,4.42
Cgl0003,39.7,27.89,43.15,87.48,108.29,34.73
Cgl0004,9.28,8.74,12.11,24.15,24.23,12.26
Cgl0005,2.28,4.32,6.85,6.22,5.89,3.57
Cgl0006,175.33,121.87,173.57,406.48,510.04,196.61
Cgl0007,1.16,1.02,0.84,9.41,11.13,2.3
Cgl0008,2.8,3.68,2.84,19.51,20.95,7.97
Cgl0009,9.17,2.82,9.94,57.43,44.54,10.45
Cgl0010,66.75,35.59,86.84,115.49,51.96,61.99
Cgl0011,0.77,0,0.7,0.42,0,0
Cgl0012,0,0,0,0,0,0
Cgl0013,195.12,176.2,215.93,702.9,812.19,298.96
Cgl0014,70.25,56.95,42.12,125.22,199.19,83.63
Cgl0015,0.98,1.38,0.53,12.01,11.22,8.65
Cgl0016,0.68,0.2,0.41,1.74,1.51,0.56
Cgl0017,0,2.59,1.33,3.23,1.09,1.46
Cgl0018,0.47,0.82,1.05,2.17,4.34,2.43
Cgl0019,0,0.24,0.25,2.09,1.33,0.95
Cgl0020,1.1,0,0,3.59,1.94,1.08
Cgl0021,3.68,4.48,5.54,7.27,11.33,6.38
Cgl0022,0,0.32,0,0,1.44,0.54
Cgl0023,0,0,0,0.27,0.44,0
Cgl0024,0.47,0,0.42,2.03,0.21,0.46
Cgl0025,2.41,0.84,3.7,19.28,19.21,13.12
Cgl0026,2.07,0,0.86,2.87,1.69,0.87
Cgl0027,0,0,0,0.47,0,0
Cgl0028,0,0,0,0,0.11,0.24
Cgl0029,0,0,0,0.17,0.14,0
Cgl0030,3.31,2,5.8,30.21,17.71,12.82
Cgl0031,14.89,10.45,16.67,34.95,18.83,27.14
Cgl0032,13.1,11.96,9.17,46.91,32,19.73
Cgl0033,129.27,34.28,90.05,514.28,402.52,122.85
Cgl0034,325.42,154.01,264.11,1873.41,2273.84,641.18
Cgl0035,7.1,4.6,5.02,9.62,11.22,8.41
Cgl0037,0,0.7,0,0,0,0
Cgl0036,1.49,2.43,2.31,4.19,2.93,3.37
Cgl0038,0.26,0.46,2.36,2.57,2.32,1.68
Cgl0039,1.23,0.22,4.24,3.91,3.94,1.47
Cgl0040,16.41,5.23,10.11,157.44,135.62,46.19
Cgl0041,36.52,28.71,42.46,139,175.86,74.9
Cgl0042,29.03,22.42,31.7,50.15,37.47,22.54
Cgl0043,65.75,70.2,75.52,127.44,98.86,70.94
Cgl0044,78.95,81.23,75.61,124.28,80.77,83
Cgl0045,59.18,46.76,62.27,96.24,61.87,57.51
Cgl0046,37.67,34.19,54.99,22.03,27.77,44.69
Cgl0047,46.77,16.13,46.55,71.38,47.52,49.37
Cgl0048,0.56,0.25,1.53,4.16,2.25,0.84
Cgl0049,14.18,12.06,13.58,34.77,30.67,26.82
Cgl0051,186.53,135.94,206.3,296.62,253.19,150.19
Cgl0050,0.44,1.75,0.8,5.22,3.64,0.55
Cgl0052,0.45,0.78,0.4,0.49,0.33,0.37
Cgl0053,0.55,2.63,2.71,0.6,1.33,1.22
Cgl0054,0,0,0,0,0,0
Cgl0055,0,0.3,0.93,0.56,0.46,0.17
Cgl0056,4.74,0,12.12,67.33,51.8,17.6
Cgl0057,1.19,0,0,0.52,0.53,0.35
Cgl0058,0.25,0.21,0.66,1.07,1.2,1.94
Cgl0059,0,0,0,3.27,0.89,1.84
Cgl0060,0.25,0.77,0.11,2.94,1.72,2.54
Cgl0061,48.11,26.43,51.97,159.28,213.52,78.58
Cgl0062,15.39,5.56,21.67,78.69,74.45,37.21
Cgl0063,4.8,2.53,3.18,9.45,12.99,6.42
Cgl0064,20.57,16.75,35.83,58,47.17,28.82
Cgl0065,10.21,4.28,8.15,361.86,792.71,166.31
Cgl0066,2.11,0,2.85,12.37,12.37,2.09
Cgl0067,0,0.34,0,44.79,93.27,27.31
Cgl0068,1.23,0.86,1.11,13.65,12.65,5.73
Cgl0069,3.72,2.99,7.84,27.96,36.29,20.27
Cgl0070,16.92,7.81,18.09,48.31,45.4,18.52
Cgl0071,11.79,3.31,10.22,168.05,140.68,69.82
Cgl0072,3.04,3.2,3.66,11.85,9.43,6.93
Cgl0073,0.85,0.74,0,0,0,0.42
Cgl0074,0,0,0,0.33,0.26,0
Cgl0075,2095.38,1618.24,2207.02,860.02,423.27,692.21
Cgl0076,471.16,228.72,449.7,904.25,369.24,323.75
Cgl0077,1.81,3.18,5.72,3.96,4.82,0.45
Cgl0078,52.64,28.98,46.89,625.01,988.65,192.05
Cgl0079,8.35,8.29,14.68,12.25,10.91,8.81
Cgl0080,55.57,32.79,58.3,45.11,46.77,13.35
Cgl0081,0.9,0.4,0.41,13.44,26.2,4.69
Cgl0082,4.88,6.43,6.84,206.81,284.76,106.21
Cgl0083,0.39,0,0.36,6.04,8.75,2.35
Cgl0084,119.65,30.66,88.64,366.75,110.57,74.25
Cgl0085,327.38,195.43,288.53,336.77,180.79,200.53
Cgl0086,1334.65,924.53,1434.01,907.81,443.07,522.38
Cgl0087,1110.76,603.72,1180.15,284.94,121.74,323.51
Cgl0088,367.27,236.34,370.6,204.38,106.08,93.33
Cgl0089,365.82,282.11,385.46,147.38,69.84,110.02
Cgl0090,520.66,360.61,522.92,222.3,138.42,112.37
Cgl0091,30.84,16.84,22.23,266.61,288.17,110.39
Cgl0092,2.12,0.93,2.71,7.52,8.83,2.45
Cgl0093,29.03,16.53,32.18,138.6,166.07,64.24
Cgl0094,9.48,9.39,16.61,38.58,44.34,18.33
Cgl0095,24.99,16.22,25.83,99.11,97.09,34.84
Cgl0096,0.29,0.25,1.3,0.63,0.13,0
Cgl0097,0,0.32,0,6.42,4.07,0.91
Cgl0098,1.11,0,0.67,6.45,4.58,0.91
Cgl0099,158.57,86.98,157.82,135.94,166.36,70.91
Cgl0100,124.18,65.95,120.11,163.97,111.07,106.84
Cgl0101,6.17,4.53,6.83,34.22,21.78,22.96
Cgl0102,15.1,9.13,13.64,41.85,30.04,21.57
Cgl0103,2.76,2.42,1.99,6.94,4.4,2.19
Cgl0104,0,0,1.74,0.7,1.7,1.27
Cgl0105,29.04,19.43,28.33,62.06,56.52,33.03
Cgl0106,95.21,66.42,102.6,271.49,294.53,98.2
Cgl0107,17.1,3.18,10.3,56.95,46.18,15.92
Cgl0108,31.37,6.96,15.42,67.07,49.99,23.2
Cgl0109,3.77,2.48,5.96,2.87,3.4,2.2
Cgl0110,4.72,2,3.85,1.25,2.02,2.04
Cgl0111,5.04,2.74,5.2,4.07,2.77,7.13
Cgl0112,15.32,12.01,19.95,30.92,34.67,16.19
Cgl0113,35.64,23.6,28.91,21.61,24.51,18.74
Cgl0114,38.72,28.45,24.07,12.65,15.94,22.54
Cgl0115,0.21,0,0.39,1.4,0.47,0.32
Cgl0116,5.72,2.82,5.49,11.33,8.24,2.83
Cgl0117,3.41,1.36,3.36,40,48.38,21.04
Cgl0118,10.41,10.52,16.76,12.74,16.45,9.86
Cgl0119,94.11,50.41,96.83,110.8,91.34,180.96
Cgl0120,61.36,49.99,70.83,265.57,266.08,140.8
Cgl0121,26.48,16.37,28.73,68.11,44.84,29.31
Cgl0122,10.06,4.34,7.07,7.6,8.5,4.67
Cgl0123,0.3,0.26,0,2.11,3.81,2.5
Cgl0124,1.93,0,0,2.9,1.71,0.48
Cgl0125,65.17,45.02,67.37,714.42,872.73,335.7
Cgl0126,37.78,19.35,34.59,256.27,232.31,119.33
Cgl0127,55.23,37.95,55.66,216,186.89,123.21
Cgl0128,44.63,34.2,46.15,149.23,133.68,105.54
Cgl0130,8.58,3.35,5.68,54.42,59.1,18.51
Cgl0131,7.25,4.24,3.88,5.72,8.8,1.86
Cgl0132,0.23,0.81,1.67,3.28,3.07,1.83
Cgl0133,0.28,0.25,0.77,4.33,3.39,1.26
Cgl0134,8.49,9.57,8.21,113,119.33,24.62
Cgl0135,5.95,6.08,13.87,47.41,39.33,17.18
Cgl0136,37.99,33.32,37.52,102.1,124.37,69.02
Cgl0137,5.72,6.11,5,11.33,9.74,8.94
Cgl0139,38.09,17.79,37.76,265.01,266.5,75.05
Cgl0138,2.86,4.56,3.05,28.73,38.06,14.43
Cgl0140,9.7,5.67,14.6,105.46,101.77,22.15
Cgl0141,4.26,2.54,4.54,15.55,18.35,9.58
Cgl0143,6.61,2.11,7.33,43.85,45.82,16.37
Cgl0144,0.29,0.26,0.53,1.61,2.22,1.31
Cgl0145,1.93,0.68,1.39,0.21,0,0
Cgl0146,2.39,0,0.81,2.29,1.86,1.93
Cgl0147,24.94,12.15,18.77,57.19,50.37,22.3
Cgl0148,40.73,22.56,26.89,131.14,136.67,57.11
Cgl0149,6.49,5.18,4.27,8.71,7.07,2.05
Cgl0150,10.94,7.99,13.79,5.48,4.55,2.37
Cgl0151,505.71,364.53,424.16,104.49,111.36,45.95
Cgl0152,0,0.41,0,1.8,2.93,1.17
Cgl0153,11.42,6.01,7.07,55.32,46.45,60.63
Cgl0154,314.54,164.18,298.95,632.35,564.42,254.85
Cgl0155,20.81,14.89,23.24,54.63,51.46,25.9
Cgl0156,64.52,45.3,69.7,127.83,125.17,76.65
Cgl0157,35.28,17.58,29.45,58.3,73.71,31.64
Cgl0158,7.02,1.49,4.23,25.02,48.88,13.39
Cgl0159,8.37,6.93,5.04,28.85,63.09,21.77
Cgl0160,11.7,9.08,10.56,39.76,90.66,19.44
Cgl0161,13.94,7.02,13.42,37.62,75.5,26.04
Cgl0162,14.79,10.73,14.7,37.81,66.05,21.14
Cgl0163,22.13,13.07,20.76,51.78,104.36,32.78
Cgl0164,15.06,8.98,16.87,37.45,78.01,19.4
Cgl0165,14.7,11.46,18.33,34.69,61.65,17.45
Cgl0166,1.35,1.05,1.62,3.35,3.65,1.33
Cgl0167,0.2,0.17,0.54,3.36,6.87,3.64
Cgl0168,1.77,0.39,4.01,7.76,5.31,1.98
Cgl0169,0.59,0.51,2.11,3.2,4.67,0.58
Cgl0170,0.61,0,0.18,6.6,6.53,2.23
Cgl0171,1.98,1.59,2.23,9.19,17.17,4.33
Cgl0172,3.21,4.05,1.45,10.32,21.46,9.65
Cgl0173,0,0,0.43,4.9,4.6,1.63
Cgl0174,112.82,14.01,56.81,355.87,297.02,86.05
Cgl0176,7.25,1.73,3.57,2.88,5.55,5.88
Cgl0177,28.33,17.13,20.73,33.38,22.3,10.89
Cgl0178,6.17,4.58,8.15,20.5,19.79,10.82
Cgl0179,6.36,0,2.96,34.2,27.46,11.68
Cgl0180,2.01,0,2.27,1.1,1.34,1
Cgl0181,4.55,2.54,4.74,7.77,8.63,5.6
Cgl0182,1.18,0.44,1.07,2.22,1.12,1.25
Cgl0183,7.91,1.63,1.68,98.89,129.47,44.22
Cgl0184,3407.52,2705.4,3488.67,4904.84,2962.27,2938.55
Cgl0185,4273.42,2812.02,4151.62,6653.66,4340.52,2869.95
Cgl0186,50.23,35.29,62.92,274.63,332.14,148.68
Cgl0187,46.7,42.62,52.71,102.9,147.2,60.89
Cgl0188,27.94,22.75,29.48,39.63,38.98,34.67
Cgl0189,587.24,405.08,512.02,788.05,776.8,417.7
Cgl0190,707.52,500.57,691.54,1660.64,1813.17,688.85
Cgl0191,0,0.78,3.23,26.86,22.58,7.52
Cgl0192,7.87,6.54,12.34,25.12,27.53,19.07
Cgl0193,23.23,7.83,18.96,42.73,41.39,17.7
Cgl0194,71.3,38.63,60.09,269,290.33,82.1
